text,size
yesterday-shooting,362	
liberals-shooting,349	
pretty-quiet,347	
liberals-quiet,347	
liberals-pretty,347	
gun-control,341	
yesterday-muslim,288	
shooting-muslim,288	
shooting-vegan,288	
yesterday-vegan,288	
muslim-female,281	
education-libs,277	
education-liberals,276	
education-pretty,276	
libs-shooting,276	
education-vegan,276	
quiet-muslim,276	
liberals-vegan,276	
pretty-nmaybe,276	
education-nmaybe,276	
