text,size	
school-students,181	
school-shooting,175	
school-sheriff,165	
peterson-radio,165	
students-school,158	
building-radio,156	
school-building,151	
sheriff-radio,146	
video-radio,142	
sheriff-building,141	
peterson-building,139	
peterson-video,138	
peterson-officers,138	
peterson-shooting,137	
building-shooting,136	
sheriff-peterson,136	
building-officers,135	
building-video,134	
building-peterson,133	
sheriff-officers,133	
